Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Success Level,File
Aprila,2019,170.0,77.0,,,Partial(2/4),Aprila_Bank_2019_Q4.pdf
Aprila,2020,170447.0,90922.0,,,Partial(2/4),Aprila_Bank_2020_Q1.pdf
Aprila,2020,256737.0,117687.0,,,Partial(2/4),Aprila_Bank_2020_Q2.pdf
Aprila,2020,255956.0,128115.0,,,Partial(2/4),Aprila_Bank_2020_Q3.pdf
Aprila,2020,439858.0,326844.0,,,Partial(2/4),Aprila_Bank_2020_Q4.pdf
Aprila,2021,413983.0,316983.0,,,Partial(2/4),Aprila_Bank_2021_Q1.pdf
Aprila,2021,343582.0,253840.0,,,Partial(2/4),Aprila_Bank_2021_Q2.pdf
Aprila,2021,377964.0,293773.0,,,Partial(2/4),Aprila_Bank_2021_Q3.pdf
Aprila,2021,465994.0,357437.0,,,Partial(2/4),Aprila_Bank_2021_Q4.pdf
Aprila,2022,530007.0,426533.0,,,Partial(2/4),Aprila_Bank_2022_Q1.pdf
Aprila,2022,625183.0,459512.0,,,Partial(2/4),Aprila_Bank_2022_Q2.pdf
Aprila,2022,657399.0,495011.0,,,Partial(2/4),Aprila_Bank_2022_Q3.pdf
Aprila,2022,786673.0,594562.0,,,Partial(2/4),Aprila_Bank_2022_Q4.pdf
Acorns,2017,203556853.0,25547.0,13859930.0,13880855.0,Complete,Acorns_2017_18_Annual.pdf
Acorns,2018,354038314.0,66066.0,27181059.0,26400133.0,Complete,Acorns_2018_19_Annual.pdf
Acorns,2020,811815120.0,184536.0,120721521.0,118730064.0,Complete,Acorns_2020_21_Annual.pdf
Acorns,2019,464180375.0,113807.0,2315071.0,982679.0,Complete,Acorns_2019_20_Annual.pdf
Acorns,2022,981886940.0,296819.0,36234783.0,,Partial(3/4),Acorns_2022_23_Q1_Q2.pdf
Acorns,2021,894430361.0,221571.0,,,Partial(2/4),Acorns_2021_22_Annual.pdf
Acorns,2022,1151041210.0,359473.0,109532376.0,,Partial(3/4),Acorns_2022_23_Annual.pdf
Acorns,2024,1634266937.0,394647.0,108823581.0,106450166.0,Complete,Acorns_2024_25_Q1_Q2.pdf
Acorns,2023,1417127147.0,425126.0,158666832.0,154479446.0,Complete,Acorns_2023_24_Annual.pdf
Acorns,2021,977367928.0,226692.0,17974107.0,,Partial(3/4),Acorns_2021_22_Q1_Q2.pdf
Afterpay,2015,894772.0,,,-179817.0,Partial(2/4),Afterpay_2015_Annual.pdf
Afterpay,2016,1211362.0,,686618.0,-171590.0,Partial(3/4),Afterpay_2016_Annual.pdf
Afterpay,2018,3281023.0,,,-38453.0,Partial(2/4),Afterpay_2018_Annual.pdf
Afterpay,2017,2187270.0,,983963.0,-62813.0,Partial(3/4),Afterpay_2017_Annual.pdf
Afterpay,2019,4551258.0,,,,Partial(1/4),Afterpay_2019_Annual.pdf
Azlo,2013,1.31,,3955.0,1004.0,Partial(3/4),Azlo_2013_Q1.pdf
CIMB,2015,,,,234557542.0,Partial(1/4),CIMB_2015_Annual.pdf
Card,2024,290558608.0,281830486.0,1205193.0,,Partial(3/4),Card_by_Coinbase_2024_Q3.pdf
Creditas,2024,5906337.0,5559535.0,474932.0,-1154191.0,Complete,Creditas_2024_Q2.pdf
Digio,2020,2.807,2.807,,,Partial(2/4),Digio_2020_Q3、Q4.pdf
Aprila,2023,838183.0,648004.0,,,Partial(2/4),Aprila_Bank_2023_Q1.pdf
Aprila,2023,997004.0,798960.0,,5794.0,Partial(3/4),Aprila_Bank_2023_Q2.pdf
Aprila,2023,1085305.0,879513.0,,13525.0,Partial(3/4),Aprila_Bank_2023_Q3.pdf
Aprila,2023,1061600.0,844924.0,,23086.0,Partial(3/4),Aprila_Bank_2023_Q4.pdf
Aprila,2024,,,,52.0,Partial(1/4),Aprila_Bank_2024_Q1.pdf
Klarna,2016,9845198.0,7260028.0,,,Partial(2/4),Klarna_2016_Q1Q2.pdf
Klarna,2016,9845198.0,7260028.0,,,Partial(2/4),Klarna_2016_Q1_Q2.pdf
Klarna,2016,9845198.0,7260028.0,,,Partial(2/4),Klarna_2016_Q1、Q2.pdf
Klarna,2017,12804553000.0,9700935000.0,1865908000.0,,Partial(3/4),Klarna_2017_Q1Q2.pdf
Klarna,2017,12804553000.0,9700935000.0,1865908000.0,,Partial(3/4),Klarna_2017_Q1_Q2.pdf
Klarna,2016,12000.0,9000.0,2000.0,,Partial(3/4),Klarna_2016_Annual.pdf
Klarna,2017,12804553000.0,9700935000.0,1865908000.0,,Partial(3/4),Klarna_2017_Q1、Q2.pdf
Klarna,2019,30452850.0,26342899.0,,,Partial(2/4),Klarna_2019_Q1_Q2.pdf
Klarna,2019,30452850.0,26342899.0,,,Partial(2/4),Klarna_2019_Q1、Q2.pdf
Klarna,2019,30452850.0,26342899.0,,,Partial(2/4),Klarna_2019_Q1Q2.pdf
Klarna,2023,112211225533.0,110077444488.0,0.8,,Partial(3/4),Klarna_2023_Q1Q2.pdf
Klarna,2023,112211225533.0,110077444488.0,0.8,,Partial(3/4),Klarna_2023_Q1_Q2.pdf
Klarna,2023,112211225533.0,110077444488.0,0.8,,Partial(3/4),Klarna_2023_Q1、Q2.pdf
Knab,2021,17324655.0,,,,Partial(1/4),Knab_2021_Q1、Q2.pdf
Klarna,2023,,,23504.0,,Partial(1/4),Klarna_2023_Annual.pdf
Knab,2022,16944275.0,,,16174.0,Partial(2/4),Knab_2022_Q1、Q2.pdf
Knab,2023,17122255.0,,,64481.0,Partial(2/4),Knab_2023_Q1、Q2.pdf
LINE,2022,10494808.0,5941605.0,,,Partial(2/4),LINE_Pay_2022_Annual.pdf
LINE,2023,12129838.0,6783335.0,,,Partial(2/4),LINE_Pay_2023_Annual.pdf
LINE,2023,10180152.0,5166701.0,,232679.0,Partial(3/4),LINE_Pay_2023_Q2.pdf
LINE,2024,12213451.0,6629841.0,,207862.0,Partial(3/4),LINE_Pay_2024_Q1.pdf
Livi,2020,2421633.0,308131.0,,-184999.0,Partial(3/4),Livi_Bank_2020_Q1Q2.pdf
Livi,2020,2421633.0,308131.0,,-184999.0,Partial(3/4),Livi_Bank_2020_Q1_Q2.pdf
Livi,2020,2421633.0,308131.0,,-184999.0,Partial(3/4),Livi_Bank_2020_Q1、Q2.pdf
LINE,2024,13206388.0,7238301.0,,112056.0,Partial(3/4),LINE_Pay_2024_Q3.pdf
Livi,2023,3934782.0,2667890.0,,-308011.0,Partial(3/4),Livi_Bank_2023_Q1Q2.pdf
Livi,2023,3934782.0,2667890.0,,-308011.0,Partial(3/4),Livi_Bank_2023_Q1_Q2.pdf
Livi,2023,3934782.0,2667890.0,,-308011.0,Partial(3/4),Livi_Bank_2023_Q1、Q2.pdf
Livi,2024,4901750.0,3018211.0,,-124537.0,Partial(3/4),Livi_Bank_2024_Q1_Q2.pdf
